commodity_id,commodity,year,price
49,"Small local banana",2010,3.87
36,"Young buffalo with bone (veal)",2010,49.06
40,Onion,2010,2.64
42,Potato,2010,2.85
43,Tomato,2010,2.56
44,"Green beans",2010,4.61
45,"Salted lemon",2010,3.58
46,"Medium cabbage",2010,4.47
47,"Medium cucumber",2010,2.27
48,"Small zucchini",2010,2.33
38,"Boneless medium-age beef & buffalo (kandoz)",2010,53.78
50,"Local garlic",2010,9.85
51,Eggplant,2010,1.57
52,"Yellow carrot (without greens)",2010,3.01
53,"Green bell pepper",2010,3.26
39,"Local mutton with bone",2010,52.14
37,"Imported frozen beef",2010,25.29
1,"Local duck",2010,25.97
2,"Local frozen white chicken",2010,19.77
3,"Farm chicken",2010,14.62
4,"Local chicken",2010,17.32
5,"Large farm eggs",2010,0.59
6,"Medium domestic pigeon",2010,26.48
11,"Loose imported cow butter",2010,24.73
12,"Aged Romano cheese",2010,38.43
13,"Fresh milk",2010,4.47
31,"Local crushed fava beans",2010,5.25
7,"Aged full-fat white cheese",2010,22.07
28,"Local wheat",2010,2.97
21,"Local dry fava beans (for stew)",2010,4.98
10,"Loose local buffalo butter",2010,34.52
14,"Frozen mackerel",2010,7.9
15,Tilapia,2010,12.27
26,"Local dry beans",2010,6.62
27,"Crushed lentils",2010,8.83
16,"Frozen pasta fish",2010,9.75
17,Catfish,2010,8.69
18,"Mullet fish",2010,26.59
8,"Cottage cheese",2010,10.09
9,"Local buffalo ghee",2010,40.72
30,"Whole local lentils",2010,9.07
41,Strawberry,2010,3.34
36,"Young buffalo with bone (veal)",2011,57.17
39,"Local mutton with bone",2011,59.13
38,"Boneless medium-age beef & buffalo (kandoz)",2011,58.6
40,Onion,2011,4.24
37,"Imported frozen beef",2011,30.43
42,Potato,2011,4.08
43,Tomato,2011,4.05
44,"Green beans",2011,4.88
45,"Salted lemon",2011,5.09
46,"Medium cabbage",2011,6.26
47,"Medium cucumber",2011,2.88
48,"Small zucchini",2011,3.61
49,"Small local banana",2011,5.45
50,"Local garlic",2011,11.28
51,Eggplant,2011,1.6
52,"Yellow carrot (without greens)",2011,2.73
53,"Green bell pepper",2011,3.49
30,"Whole local lentils",2011,8.85
27,"Crushed lentils",2011,8.48
18,"Mullet fish",2011,28.12
17,Catfish,2011,10.04
16,"Frozen pasta fish",2011,10.27
15,Tilapia,2011,14.02
28,"Local wheat",2011,3.43
14,"Frozen mackerel",2011,9.91
31,"Local crushed fava beans",2011,6.37
6,"Medium domestic pigeon",2011,28.4
5,"Large farm eggs",2011,0.64
4,"Local chicken",2011,18.52
26,"Local dry beans",2011,7.02
2,"Local frozen white chicken",2011,19.33
1,"Local duck",2011,26.15
21,"Local dry fava beans (for stew)",2011,7.67
3,"Farm chicken",2011,16.66
7,"Aged full-fat white cheese",2011,23.78
8,"Cottage cheese",2011,10.82
9,"Local buffalo ghee",2011,45.34
10,"Loose local buffalo butter",2011,38.4
11,"Loose imported cow butter",2011,29.55
12,"Aged Romano cheese",2011,43.36
13,"Fresh milk",2011,4.99
41,Strawberry,2011,3.18
42,Potato,2012,5.05
43,Tomato,2012,5.04
44,"Green beans",2012,5.73
45,"Salted lemon",2012,5.48
46,"Medium cabbage",2012,5.73
47,"Medium cucumber",2012,4.37
50,"Local garlic",2012,10.75
38,"Boneless medium-age beef & buffalo (kandoz)",2012,62.9
39,"Local mutton with bone",2012,62.7
51,Eggplant,2012,1.89
40,Onion,2012,4.78
52,"Yellow carrot (without greens)",2012,2.78
37,"Imported frozen beef",2012,32.1
36,"Young buffalo with bone (veal)",2012,60.9
53,"Green bell pepper",2012,3.43
49,"Small local banana",2012,5.64
48,"Small zucchini",2012,3.38
21,"Local dry fava beans (for stew)",2012,8.3
14,"Frozen mackerel",2012,12.44
16,"Frozen pasta fish",2012,10.45
17,Catfish,2012,11.78
18,"Mullet fish",2012,31.98
15,Tilapia,2012,17.36
1,"Local duck",2012,29.03
2,"Local frozen white chicken",2012,22.36
3,"Farm chicken",2012,20.35
28,"Local wheat",2012,3.6
27,"Crushed lentils",2012,8.27
26,"Local dry beans",2012,7.18
4,"Local chicken",2012,21.37
5,"Large farm eggs",2012,0.74
6,"Medium domestic pigeon",2012,30.68
30,"Whole local lentils",2012,8.8
31,"Local crushed fava beans",2012,6.4
7,"Aged full-fat white cheese",2012,24.2
8,"Cottage cheese",2012,11.63
9,"Local buffalo ghee",2012,47.3
10,"Loose local buffalo butter",2012,43.4
11,"Loose imported cow butter",2012,31.51
12,"Aged Romano cheese",2012,44
13,"Fresh milk",2012,5.49
41,Strawberry,2012,2.22
50,"Local garlic",2013,9.64
53,"Green bell pepper",2013,2.92
52,"Yellow carrot (without greens)",2013,4.34
51,Eggplant,2013,2.38
47,"Medium cucumber",2013,4.53
36,"Young buffalo with bone (veal)",2013,66.15
40,Onion,2013,4.26
42,Potato,2013,5.96
49,"Small local banana",2013,5.95
48,"Small zucchini",2013,3.98
46,"Medium cabbage",2013,8.19
45,"Salted lemon",2013,5.42
37,"Imported frozen beef",2013,34.1
43,Tomato,2013,3.5
39,"Local mutton with bone",2013,71.7
44,"Green beans",2013,6.72
38,"Boneless medium-age beef & buffalo (kandoz)",2013,67.82
4,"Local chicken",2013,27.58
3,"Farm chicken",2013,23.14
2,"Local frozen white chicken",2013,27.1
1,"Local duck",2013,33.23
28,"Local wheat",2013,4.08
27,"Crushed lentils",2013,8.44
26,"Local dry beans",2013,12.89
21,"Local dry fava beans (for stew)",2013,9.1
30,"Whole local lentils",2013,9.8
6,"Medium domestic pigeon",2013,37.39
7,"Aged full-fat white cheese",2013,27.87
18,"Mullet fish",2013,36.83
17,Catfish,2013,13.33
31,"Local crushed fava beans",2013,6.94
15,Tilapia,2013,20.75
14,"Frozen mackerel",2013,15.08
16,"Frozen pasta fish",2013,11.98
5,"Large farm eggs",2013,1
8,"Cottage cheese",2013,13.46
9,"Local buffalo ghee",2013,48.59
10,"Loose local buffalo butter",2013,48.27
11,"Loose imported cow butter",2013,40.13
12,"Aged Romano cheese",2013,49.17
13,"Fresh milk",2013,5.94
41,Strawberry,2013,4.8
37,"Imported frozen beef",2014,36.6
36,"Young buffalo with bone (veal)",2014,80.23
44,"Green beans",2014,8.05
45,"Salted lemon",2014,6.74
46,"Medium cabbage",2014,11.52
52,"Yellow carrot (without greens)",2014,4.09
51,Eggplant,2014,1.74
39,"Local mutton with bone",2014,79.37
38,"Boneless medium-age beef & buffalo (kandoz)",2014,77.27
42,Potato,2014,4.82
53,"Green bell pepper",2014,3.74
40,Onion,2014,5.62
43,Tomato,2014,3.91
50,"Local garlic",2014,16.56
49,"Small local banana",2014,5.9
48,"Small zucchini",2014,3.09
47,"Medium cucumber",2014,4.2
1,"Local duck",2014,35.18
2,"Local frozen white chicken",2014,28.29
3,"Farm chicken",2014,24.5
4,"Local chicken",2014,26.81
5,"Large farm eggs",2014,1.11
6,"Medium domestic pigeon",2014,42.54
28,"Local wheat",2014,4.26
27,"Crushed lentils",2014,9.23
26,"Local dry beans",2014,13.52
17,Catfish,2014,13.66
16,"Frozen pasta fish",2014,12.64
15,Tilapia,2014,22.42
14,"Frozen mackerel",2014,15.38
18,"Mullet fish",2014,40.45
31,"Local crushed fava beans",2014,7.43
30,"Whole local lentils",2014,11.94
7,"Aged full-fat white cheese",2014,36.87
8,"Cottage cheese",2014,14.72
9,"Local buffalo ghee",2014,57.05
10,"Loose local buffalo butter",2014,55.82
11,"Loose imported cow butter",2014,39.63
12,"Aged Romano cheese",2014,60.33
13,"Fresh milk",2014,6.59
21,"Local dry fava beans (for stew)",2014,10.07
41,Strawberry,2014,5.32
36,"Young buffalo with bone (veal)",2015,90.4
37,"Imported frozen beef",2015,40.93
38,"Boneless medium-age beef & buffalo (kandoz)",2015,86.69
39,"Local mutton with bone",2015,89.58
47,"Medium cucumber",2015,5.88
52,"Yellow carrot (without greens)",2015,4.26
53,"Green bell pepper",2015,7.91
40,Onion,2015,2.56
42,Potato,2015,4.77
43,Tomato,2015,4.24
44,"Green beans",2015,9.83
45,"Salted lemon",2015,8.64
46,"Medium cabbage",2015,8.64
48,"Small zucchini",2015,4.77
49,"Small local banana",2015,8.33
50,"Local garlic",2015,11.53
51,Eggplant,2015,1.89
1,"Local duck",2015,33
2,"Local frozen white chicken",2015,30.98
3,"Farm chicken",2015,24.5
4,"Local chicken",2015,27.04
5,"Large farm eggs",2015,1.13
6,"Medium domestic pigeon",2015,47.83
17,Catfish,2015,12.56
16,"Frozen pasta fish",2015,12.75
15,Tilapia,2015,24.42
14,"Frozen mackerel",2015,14.48
13,"Fresh milk",2015,7.03
12,"Aged Romano cheese",2015,62
11,"Loose imported cow butter",2015,39.55
10,"Loose local buffalo butter",2015,58.23
9,"Local buffalo ghee",2015,62.05
8,"Cottage cheese",2015,16.34
7,"Aged full-fat white cheese",2015,38.2
21,"Local dry fava beans (for stew)",2015,10.68
26,"Local dry beans",2015,10.18
27,"Crushed lentils",2015,12.63
28,"Local wheat",2015,4.6
30,"Whole local lentils",2015,15.46
31,"Local crushed fava beans",2015,7.49
18,"Mullet fish",2015,40.3
41,Strawberry,2015,6.5
51,Eggplant,2016,4.12
36,"Young buffalo with bone (veal)",2016,100.12
37,"Imported frozen beef",2016,46.68
53,"Green bell pepper",2016,6.93
52,"Yellow carrot (without greens)",2016,3.91
39,"Local mutton with bone",2016,101.12
50,"Local garlic",2016,14.28
49,"Small local banana",2016,9.1
48,"Small zucchini",2016,5.66
38,"Boneless medium-age beef & buffalo (kandoz)",2016,97.67
47,"Medium cucumber",2016,5.32
46,"Medium cabbage",2016,8.37
45,"Salted lemon",2016,8.52
44,"Green beans",2016,9.97
43,Tomato,2016,4.15
42,Potato,2016,5.93
40,Onion,2016,4.09
1,"Local duck",2016,33.54
2,"Local frozen white chicken",2016,41.27
3,"Farm chicken",2016,27.92
4,"Local chicken",2016,30.92
5,"Large farm eggs",2016,1.1
6,"Medium domestic pigeon",2016,48.33
13,"Fresh milk",2016,7.66
