commodity_id,commodity,date,price
49,"Small local banana",2010-01-01,3.4
36,"Young buffalo with bone (veal)",2010-01-01,38.9
40,Onion,2010-01-01,1.9
42,Potato,2010-01-01,2.3
43,Tomato,2010-01-01,2
44,"Green beans",2010-01-01,3.5
45,"Salted lemon",2010-01-01,3.9
46,"Medium cabbage",2010-01-01,3.3
47,"Medium cucumber",2010-01-01,2.3
48,"Small zucchini",2010-01-01,2
38,"Boneless medium-age beef & buffalo (kandoz)",2010-01-01,46.8
50,"Local garlic",2010-01-01,11.3
51,Eggplant,2010-01-01,1.6
52,"Yellow carrot (without greens)",2010-01-01,2.9
53,"Green bell pepper",2010-01-01,3.2
39,"Local mutton with bone",2010-01-01,45.1
37,"Imported frozen beef",2010-01-01,21.3
1,"Local duck",2010-01-01,24.8
2,"Local frozen white chicken",2010-01-01,18
3,"Farm chicken",2010-01-01,12.7
4,"Local chicken",2010-01-01,15.8
5,"Large farm eggs",2010-01-01,0.5
6,"Medium domestic pigeon",2010-01-01,24.2
11,"Loose imported cow butter",2010-01-01,20.2
12,"Aged Romano cheese",2010-01-01,38.1
13,"Fresh milk",2010-01-01,4.3
31,"Local crushed fava beans",2010-01-01,5.1
7,"Aged full-fat white cheese",2010-01-01,21.7
28,"Local wheat",2010-01-01,2.8
21,"Local dry fava beans (for stew)",2010-01-01,4.8
10,"Loose local buffalo butter",2010-01-01,34.1
14,"Frozen mackerel",2010-01-01,7.9
15,Tilapia,2010-01-01,11.7
26,"Local dry beans",2010-01-01,6.5
27,"Crushed lentils",2010-01-01,10
16,"Frozen pasta fish",2010-01-01,9
17,Catfish,2010-01-01,7.9
18,"Mullet fish",2010-01-01,25.7
8,"Cottage cheese",2010-01-01,10
9,"Local buffalo ghee",2010-01-01,39.7
30,"Whole local lentils",2010-01-01,9.9
1,"Local duck",2010-02-01,25.2
2,"Local frozen white chicken",2010-02-01,18.3
3,"Farm chicken",2010-02-01,12.9
4,"Local chicken",2010-02-01,16.1
5,"Large farm eggs",2010-02-01,0.5
6,"Medium domestic pigeon",2010-02-01,24.7
28,"Local wheat",2010-02-01,2.8
18,"Mullet fish",2010-02-01,25.7
17,Catfish,2010-02-01,7.9
16,"Frozen pasta fish",2010-02-01,9
15,Tilapia,2010-02-01,11.9
14,"Frozen mackerel",2010-02-01,7.9
26,"Local dry beans",2010-02-01,6.5
27,"Crushed lentils",2010-02-01,10
30,"Whole local lentils",2010-02-01,9.9
31,"Local crushed fava beans",2010-02-01,5.1
7,"Aged full-fat white cheese",2010-02-01,21.7
8,"Cottage cheese",2010-02-01,10
9,"Local buffalo ghee",2010-02-01,39.7
10,"Loose local buffalo butter",2010-02-01,34.1
11,"Loose imported cow butter",2010-02-01,20.7
21,"Local dry fava beans (for stew)",2010-02-01,4.8
12,"Aged Romano cheese",2010-02-01,38.1
13,"Fresh milk",2010-02-01,4.3
39,"Local mutton with bone",2010-02-01,45.1
48,"Small zucchini",2010-02-01,1.8
40,Onion,2010-02-01,2.1
46,"Medium cabbage",2010-02-01,3.5
47,"Medium cucumber",2010-02-01,2.1
36,"Young buffalo with bone (veal)",2010-02-01,39.9
49,"Small local banana",2010-02-01,3.8
50,"Local garlic",2010-02-01,17.9
51,Eggplant,2010-02-01,1.8
52,"Yellow carrot (without greens)",2010-02-01,2.9
53,"Green bell pepper",2010-02-01,3.6
43,Tomato,2010-02-01,2
44,"Green beans",2010-02-01,3.8
37,"Imported frozen beef",2010-02-01,21.3
38,"Boneless medium-age beef & buffalo (kandoz)",2010-02-01,47.8
45,"Salted lemon",2010-02-01,3.9
42,Potato,2010-02-01,2.2
45,"Salted lemon",2010-03-01,3.7
46,"Medium cabbage",2010-03-01,3.7
47,"Medium cucumber",2010-03-01,2.1
48,"Small zucchini",2010-03-01,1.7
49,"Small local banana",2010-03-01,3.1
50,"Local garlic",2010-03-01,17.9
51,Eggplant,2010-03-01,1.8
52,"Yellow carrot (without greens)",2010-03-01,2.9
53,"Green bell pepper",2010-03-01,3.6
44,"Green beans",2010-03-01,4
36,"Young buffalo with bone (veal)",2010-03-01,41.9
37,"Imported frozen beef",2010-03-01,21.5
38,"Boneless medium-age beef & buffalo (kandoz)",2010-03-01,49.8
