commodity,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Wheat,-2305,-5438,-3857,-6987,-7218,-8545,-9955,-10247,-15953,-15200,-12692,-12904,-10587,-9394,-11273
Rice,973,2207,1424,126,479,22,141,-14,-327,-506,-976,-85,-63,-114,-609
Potatoes,1144,1508,1937,391,140,515,460,212,678,508,760,478,489,868,858
Onions,358,935,938,337,599,367,551,440,564,445,696,536,470,767,292
Maize,1457,2358,1189,-3278,-6163,-4269,-6280,-6063,-8803,-8385,-8005,-9356,-8901,-8520,-7050
Fruits,750,1850,2127,-106,-152,-72,-320,-133,-64,64,-87,55,-103,312,652
Vegetables,1824,4622,4395,182,508,402,328,409,355,315,648,413,781,1042,726
Eggs,N/A,N/A,N/A,0,0,0,0,1,0,1,-1,0,0,1,20
Honey,N/A,N/A,N/A,1,2,1,1,2,2,3,1,1,2,1,2
Fish,-171,342,370,-233,-181,-222,-188,-188,-307,-355,-524,-572,-226,-223,-143
Citrus fruits,1148,1936,2146,1029,1228,911,1297,1421,1584,1807,2157,1751,2056,1858,2241
Red meat,-127,169,152,-165,-333,-367,-720,-432,-625,-902,-445,-440,-424,-348,-324
Poultry meat,-24,268,281,-37,-74,-71,-98,-85,-119,-58,-73,-44,-68,-47,-50
Milk,N/A,N/A,N/A,1,1,3,7,2,10,9,-40,27,25,24,41
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
